# profile sequence_id transaction_id reset_before id_meas iq_meas id_ref iq_ref we vdc pi_reset uq_zero_en old_xd old_xq old_du_d old_du_q old_sat ud_raw uq_raw error_code ud_hi uq_hi du_d_next du_q_next ud_lim uq_lim scale limited sat_flag next_xd next_xq next_du_d next_du_q next_sat
0 0000 00000000 1 0000000 0000000 0000000 0000000 00000000 0180000 1 0 0000000000 0000000000 0000000000 0000000000 0 0000000000 0000000000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0 0000000000 0000000000 0000000000 0000000000 0
0 0000 00000001 0 0000000 0000000 0000000 0000000 00000000 0180000 1 0 0000000000 0000000000 0000000000 0000000000 0 0000000000 0000000000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0 0000000000 0000000000 0000000000 0000000000 0
0 0000 00000002 0 0000000 0000000 0000000 0000000 00000000 0180000 0 0 0000000000 0000000000 0000000000 0000000000 0 0000000000 0000000000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0 0000000000 0000000000 0000000000 0000000000 0
0 0000 00000003 0 0000000 0000000 0000000 0000000 00000000 0180000 1 0 0000000000 0000000000 0000000000 0000000000 0 0000000000 0000000000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0 0000000000 0000000000 0000000000 0000000000 0
0 0000 00000004 0 0000000 0000000 0000000 0000000 00000000 0180000 1 0 0000000000 0000000000 0000000000 0000000000 0 0000000000 0000000000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0 0000000000 0000000000 0000000000 0000000000 0
0 0000 00000005 0 0008000 0000000 0000000 0000000 00000000 0180000 0 0 0000000000 0000000000 0000000000 0000000000 0 fffdd1999a 0000000000 0 fffdd1999a 0000000000 0000000000 0000000000 1fee8cd 0000000 100000000 0 0 ffffb428f6 0000000000 0000000000 0000000000 0
0 0000 00000006 0 0000000 0000000 0000000 0000000 00000000 0180000 1 0 ffffb428f6 0000000000 0000000000 0000000000 0 0000000000 0000000000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0 0000000000 0000000000 0000000000 0000000000 0
0 0000 00000007 0 0000000 0000000 0000000 0000000 00000000 0180000 1 0 0000000000 0000000000 0000000000 0000000000 0 0000000000 0000000000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0 0000000000 0000000000 0000000000 0000000000 0
0 0000 00000008 0 0000000 0008000 0000000 0000000 00000000 0180000 0 0 0000000000 0000000000 0000000000 0000000000 0 0000000000 fffdd1999a 0 0000000000 fffdd1999a 0000000000 0000000000 0000000 1fee8cd 100000000 0 0 0000000000 ffffb428f6 0000000000 0000000000 0
0 0000 00000009 0 0000000 0000000 0000000 0000000 00000000 0180000 1 0 0000000000 ffffb428f6 0000000000 0000000000 0 0000000000 0000000000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0 0000000000 0000000000 0000000000 0000000000 0
0 0000 0000000a 0 0000000 0000000 0000000 0000000 00000000 0180000 1 0 0000000000 0000000000 0000000000 0000000000 0 0000000000 0000000000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0 0000000000 0000000000 0000000000 0000000000 0
0 0000 0000000b 0 0000000 0000000 0000000 0000000 00000000 0180000 0 0 0000000000 0000000000 0000000000 0000000000 0 0000000000 0000000000 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0 0000000000 0000000000 0000000000 0000000000 0
